a e inc Omega argPeri meanAnomaly H j type inner outer epoch objId g sed_filename
40.175 0.10300000000000001 22.101999999999997 254.447 232.56099999999998 260.721 8.11 41.25 classical m h 53157.0 62 0.15 TNO.dat
42.619 0.184 40.181 96.462 314.043 331.841 8.33 36.13 classical m h 53157.0 63 0.15 TNO.dat
48.111000000000004 0.159 22.016 348.324 153.618 309.377 8.33 44.1 classical o 0 53157.0 64 0.15 TNO.dat
106.303 0.627 10.32 308.775 30.009 298.635 7.97 114.46 classical o 0 53157.0 65 0.15 TNO.dat
42.13 0.09 4.6610000000000005 353.608 301.22900000000004 171.373 8.4 45.89 resonant 5 3 53157.0 66 0.15 TNO.dat
46.718999999999994 0.242 30.006 17.11 87.899 199.338 8.02 57.61 classical m h 53157.0 67 0.15 TNO.dat
42.28 0.183 3.53 162.9 258.613 203.583 7.79 49.55 resonant 5 3 53157.0 68 0.15 TNO.dat
43.215 0.025 1.442 49.435 321.264 156.446 8.44 44.21 classical m s 53157.0 69 0.15 TNO.dat
130.671 0.703 8.312999999999999 151.188 301.462 124.609 7.91 207.46 classical o 0 53157.0 70 0.15 TNO.dat
92.14200000000001 0.604 22.793000000000003 128.179 206.08700000000002 164.96200000000002 7.77 147.09 classical o 0 53157.0 71 0.15 TNO.dat
44.566 0.122 5.192 61.813 110.926 348.69800000000004 8.46 39.26 classical m s 53157.0 72 0.15 TNO.dat
42.352 0.038 6.8229999999999995 7.961 156.369 343.24800000000005 8.37 40.82 resonant 5 3 53157.0 73 0.15 TNO.dat
40.783 0.12300000000000001 34.864000000000004 243.922 18.916 134.453 8.4 44.57 classical m h 53157.0 74 0.15 TNO.dat
50.489 0.20199999999999999 19.968 309.552 273.36400000000003 321.83099999999996 8.19 43.49 classical o 0 53157.0 75 0.15 TNO.dat
39.562 0.245 5.903 165.09099999999998 142.328 44.669 7.4 34.19 resonant 3 2 53157.0 76 0.15 TNO.dat
43.555 0.109 5.73 342.719 130.316 185.669 7.39 48.3 resonant 7 4 53157.0 77 0.15 TNO.dat
46.916000000000004 0.023 1.527 89.9 320.52299999999997 68.51100000000001 7.85 46.54 classical m s 53157.0 78 0.15 TNO.dat
43.865 0.031 7.103 161.76 169.331 231.97799999999998 7.9 44.72 classical m k 53157.0 79 0.15 TNO.dat
43.637 0.204 9.636000000000001 182.044 100.965 2.5869999999999997 7.66 34.75 resonant 7 4 53157.0 80 0.15 TNO.dat
55.525 0.414 4.077 110.794 279.096 170.043 8.31 78.32 resonant 5 2 53157.0 81 0.15 TNO.dat
54.852 0.344 14.297 232.68599999999998 299.79200000000003 200.49200000000002 8.32 73.03 classical o 0 53157.0 82 0.15 TNO.dat
124.75 0.7140000000000001 17.887 72.616 214.325 321.5 8.31 107.18 classical o 0 53157.0 83 0.15 TNO.dat
43.207 0.023 0.6459999999999999 173.305 220.644 320.471 8.23 42.45 classical m s 53157.0 84 0.15 TNO.dat
170.858 0.7709999999999999 19.27 162.849 24.741 246.52599999999998 7.89 273.46 classical o 0 53157.0 85 0.15 TNO.dat
42.395 0.20600000000000002 9.341000000000001 48.801 127.125 344.30199999999996 7.42 34.17 resonant 5 3 53157.0 86 0.15 TNO.dat
45.373000000000005 0.087 2.907 47.276 88.54899999999999 322.685 8.46 42.37 classical m s 53157.0 87 0.15 TNO.dat
62.215 0.392 2.247 192.739 194.28599999999997 181.489 7.53 86.6 resonant 3 1 53157.0 88 0.15 TNO.dat
107.428 0.659 13.417 339.722 302.731 159.71 8.46 176.61 classical o 0 53157.0 89 0.15 TNO.dat
44.891999999999996 0.19 12.274000000000001 106.09200000000001 184.399 20.291 8.27 37.16 classical m h 53157.0 90 0.15 TNO.dat
62.207 0.441 25.697 284.158 196.127 97.212 8.43 75.61 resonant 3 1 53157.0 91 0.15 TNO.dat
392.111 0.907 45.415 84.125 119.96700000000001 89.301 7.77 618.08 classical o 0 53157.0 92 0.15 TNO.dat
46.128 0.021 2.072 340.285 72.847 106.314 8.2 46.42 classical m s 53157.0 93 0.15 TNO.dat
55.571000000000005 0.27399999999999997 9.038 244.13400000000001 152.256 156.47799999999998 8.38 70.01 classical o 0 53157.0 94 0.15 TNO.dat
74.21600000000001 0.509 34.292 247.708 122.34200000000001 296.408 8.22 76.0 classical o 0 53157.0 95 0.15 TNO.dat
55.248000000000005 0.444 23.276999999999997 171.07299999999998 186.10299999999998 288.444 7.27 58.17 resonant 5 2 53157.0 96 0.15 TNO.dat
88.45200000000001 0.37799999999999995 16.124000000000002 302.822 36.788000000000004 173.47400000000002 8.34 121.8 resonant 5 1 53157.0 97 0.15 TNO.dat
39.411 0.185 29.139 142.09 101.06299999999999 352.92400000000004 8.17 32.2 resonant 3 2 53157.0 98 0.15 TNO.dat
81.634 0.515 21.113000000000003 33.515 116.38600000000001 90.77799999999999 7.98 100.75 classical o 0 53157.0 99 0.15 TNO.dat
46.086999999999996 0.20600000000000002 8.851 165.685 20.689 45.415 8.34 40.65 classical m h 53157.0 100 0.15 TNO.dat
40.428000000000004 0.11199999999999999 23.38 342.099 97.86200000000001 80.01 7.3 40.15 classical m h 53157.0 101 0.15 TNO.dat
59.643 0.379 38.474000000000004 221.49599999999998 60.049 309.94599999999997 7.54 52.11 classical o 0 53157.0 102 0.15 TNO.dat
45.355 0.201 21.121 134.27200000000002 346.64599999999996 14.674000000000001 7.85 36.7 classical m h 53157.0 103 0.15 TNO.dat
42.174 0.096 50.607 213.503 191.43599999999998 41.396 6.94 39.33 classical m h 53157.0 104 0.15 TNO.dat
88.535 0.456 17.134 140.122 142.262 349.501 6.55 50.33 resonant 5 1 53157.0 105 0.15 TNO.dat
127.553 0.691 16.647000000000002 142.986 131.635 219.071 7.38 208.46 classical o 0 53157.0 106 0.15 TNO.dat
143.15 0.7290000000000001 17.851 65.15 303.269 263.04400000000004 7.74 209.2 classical o 0 53157.0 107 0.15 TNO.dat
41.663000000000004 0.051 18.314 64.054 332.12 205.632 6.07 43.6 classical m h 53157.0 108 0.15 TNO.dat
43.872 0.061 1.431 205.33700000000002 48.174 190.745 8.3 46.49 classical m k 53157.0 109 0.15 TNO.dat
51.586999999999996 0.272 20.004 187.14 295.921 208.75 7.81 64.51 classical o 0 53157.0 110 0.15 TNO.dat
43.815 0.085 2.256 82.846 94.579 95.738 8.0 44.49 classical m s 53157.0 111 0.15 TNO.dat
62.038999999999994 0.42200000000000004 26.730999999999998 34.745 80.922 216.27599999999998 8.38 85.63 classical o 0 53157.0 112 0.15 TNO.dat
49.538999999999994 0.308 20.901 214.66299999999998 281.99 84.641 8.41 52.7 classical o 0 53157.0 113 0.15 TNO.dat
193.98 0.797 26.596 125.73899999999999 81.2 248.13099999999997 7.43 313.67 classical o 0 53157.0 114 0.15 TNO.dat
158.218 0.741 36.799 300.361 304.714 231.13299999999998 8.36 259.76 classical o 0 53157.0 115 0.15 TNO.dat
46.01 0.14400000000000002 6.517 317.111 63.393 50.525 8.5 42.45 classical m s 53157.0 116 0.15 TNO.dat
39.321999999999996 0.21899999999999997 15.46 255.17700000000002 209.35 194.354 8.47 47.74 resonant 3 2 53157.0 117 0.15 TNO.dat
62.157 0.366 11.347999999999999 256.844 139.44299999999998 196.93400000000003 7.94 84.36 resonant 3 1 53157.0 118 0.15 TNO.dat
44.18600000000001 0.079 3.992 190.535 242.08599999999998 71.973 8.5 43.37 classical m k 53157.0 119 0.15 TNO.dat
63.263000000000005 0.381 29.809 95.988 325.297 69.699 8.07 63.9 classical o 0 53157.0 120 0.15 TNO.dat
40.842 0.095 13.192 314.279 140.88 179.832 8.25 44.74 classical m h 53157.0 121 0.15 TNO.dat
47.657 0.122 8.253 16.208 281.291 81.527 8.25 47.51 resonant 2 1 53157.0 122 0.15 TNO.dat
60.87 0.395 18.602 327.377 255.44 28.998 6.89 43.87 classical o 0 53157.0 123 0.15 TNO.dat
60.415 0.37799999999999995 29.927 298.83099999999996 237.697 193.43 8.5 82.94 classical o 0 53157.0 124 0.15 TNO.dat
245.585 0.8440000000000001 15.597000000000001 326.501 347.995 123.71799999999999 8.12 422.72 classical o 0 53157.0 125 0.15 TNO.dat
74.92 0.5 25.816 228.122 84.141 120.682 8.36 103.36 classical o 0 53157.0 126 0.15 TNO.dat
45.168 0.01 1.871 62.798 134.159 28.86 7.9 44.77 classical m s 53157.0 127 0.15 TNO.dat
44.185 0.128 13.48 48.269 270.219 246.11900000000003 8.25 47.02 classical m h 53157.0 128 0.15 TNO.dat
53.001999999999995 0.275 33.916 149.085 267.589 56.223 7.39 48.29 classical o 0 53157.0 129 0.15 TNO.dat
63.84 0.405 28.351999999999997 182.94299999999998 227.218 101.594 8.17 77.29 classical o 0 53157.0 130 0.15 TNO.dat
44.413000000000004 0.092 2.815 102.477 62.342 172.205 7.91 48.45 classical m s 53157.0 131 0.15 TNO.dat
44.18600000000001 0.048 2.19 106.396 83.84100000000001 357.769 7.16 42.07 classical m k 53157.0 132 0.15 TNO.dat
42.498000000000005 0.067 12.01 146.796 179.46400000000003 117.20100000000001 7.51 43.94 classical m h 53157.0 133 0.15 TNO.dat
42.512 0.129 11.839 0.414 198.287 89.008 6.91 43.12 classical m h 53157.0 134 0.15 TNO.dat
48.583999999999996 0.21600000000000003 17.477999999999998 183.043 341.657 156.575 8.41 58.5 classical o 0 53157.0 135 0.15 TNO.dat
43.93 0.08 1.5119999999999998 309.018 345.898 62.455 8.4 42.54 classical m s 53157.0 136 0.15 TNO.dat
52.846000000000004 0.27899999999999997 5.502000000000001 177.418 168.047 177.61900000000003 6.86 67.56 resonant 7 3 53157.0 137 0.15 TNO.dat
43.603 0.136 33.38 127.596 43.032 12.123 7.56 37.84 classical m h 53157.0 138 0.15 TNO.dat
44.413000000000004 0.22899999999999998 24.524 133.891 190.607 126.727 7.49 51.72 classical m h 53157.0 139 0.15 TNO.dat
53.0 0.273 5.468 263.308 242.577 157.991 7.98 66.79 resonant 7 3 53157.0 140 0.15 TNO.dat
46.613 0.22 18.682000000000002 217.80599999999998 89.912 113.958 8.2 52.39 classical m h 53157.0 141 0.15 TNO.dat
45.547 0.121 5.928 79.68 117.06700000000001 303.79200000000003 8.39 43.0 classical m s 53157.0 142 0.15 TNO.dat
45.878 0.111 4.856 154.727 36.891 185.86599999999999 8.14 50.96 classical m s 53157.0 143 0.15 TNO.dat
88.546 0.627 3.596 351.789 273.617 243.887 8.2 130.71 resonant 5 1 53157.0 144 0.15 TNO.dat
77.402 0.539 26.753 159.506 263.782 38.501999999999995 8.5 61.04 classical o 0 53157.0 145 0.15 TNO.dat
39.468 0.171 39.273 319.518 237.674 119.867 8.14 43.58 resonant 3 2 53157.0 146 0.15 TNO.dat
101.286 0.613 31.881999999999998 265.48 309.907 168.183 8.21 162.91 classical o 0 53157.0 147 0.15 TNO.dat
45.82 0.08900000000000001 1.95 127.322 255.11 9.52 8.12 41.82 classical m s 53157.0 148 0.15 TNO.dat
71.391 0.474 38.066 55.172 175.03599999999997 244.96099999999998 7.25 95.07 classical o 0 53157.0 149 0.15 TNO.dat
43.839 0.031 4.994 125.12100000000001 336.041 358.94699999999995 8.24 42.49 classical m k 53157.0 150 0.15 TNO.dat
88.51299999999999 0.518 10.328 301.07099999999997 210.05700000000002 297.454 8.48 90.27 resonant 5 1 53157.0 151 0.15 TNO.dat
53.056999999999995 0.317 15.145999999999999 73.73 247.905 175.112 8.34 69.84 resonant 7 3 53157.0 152 0.15 TNO.dat
43.928999999999995 0.022000000000000002 5.172999999999999 149.322 135.6 62.458 8.33 43.5 classical m s 53157.0 153 0.15 TNO.dat
44.653999999999996 0.14800000000000002 16.343 71.42399999999999 300.848 355.941 8.0 38.08 classical m h 53157.0 154 0.15 TNO.dat
55.538999999999994 0.26899999999999996 23.83 279.743 50.29600000000001 183.01 8.47 70.44 resonant 5 2 53157.0 155 0.15 TNO.dat
55.31 0.301 21.44 260.682 68.38600000000001 10.755 8.47 39.28 resonant 5 2 53157.0 156 0.15 TNO.dat
42.805 0.01 2.019 209.768 290.343 348.276 8.35 42.38 classical m s 53157.0 157 0.15 TNO.dat
88.585 0.561 11.857999999999999 224.58599999999998 350.154 162.329 8.4 137.3 classical o 0 53157.0 158 0.15 TNO.dat
113.37799999999999 0.685 49.777 220.231 78.73100000000001 327.153 8.26 86.35 classical o 0 53157.0 159 0.15 TNO.dat
39.531 0.213 20.182000000000002 208.637 101.758 274.22900000000004 7.77 40.68 resonant 3 2 53157.0 160 0.15 TNO.dat
39.406 0.198 26.568 198.232 77.316 76.634 7.57 39.13 resonant 3 2 53157.0 161 0.15 TNO.dat
44.511 0.115 15.912 212.37400000000002 140.64 177.051 8.31 49.62 classical m h 53157.0 162 0.15 TNO.dat
44.093 0.046 4.735 64.23 167.44099999999997 329.028 8.43 42.37 classical m k 53157.0 163 0.15 TNO.dat
207.40099999999998 0.8220000000000001 24.689 197.722 286.63599999999997 121.89200000000001 7.08 350.98 classical o 0 53157.0 164 0.15 TNO.dat
43.912 0.035 2.742 289.577 63.872 65.917 8.48 43.34 classical m s 53157.0 165 0.15 TNO.dat
44.092 0.066 4.63 46.507 202.968 175.555 8.42 47.01 classical m s 53157.0 166 0.15 TNO.dat
47.67100000000001 0.258 7.021 109.236 135.599 124.211 8.16 56.32 resonant 2 1 53157.0 167 0.15 TNO.dat
54.263000000000005 0.313 25.443 154.725 57.901 326.877 8.11 42.48 classical o 0 53157.0 168 0.15 TNO.dat
203.34099999999998 0.809 25.393 269.556 98.249 101.214 8.15 318.27 classical o 0 53157.0 169 0.15 TNO.dat
55.391000000000005 0.35700000000000004 16.89 196.275 232.34400000000002 285.194 7.47 57.17 resonant 5 2 53157.0 170 0.15 TNO.dat
133.592 0.7140000000000001 12.229000000000001 289.666 295.288 79.609 8.11 175.82 classical o 0 53157.0 171 0.15 TNO.dat
55.281000000000006 0.11900000000000001 10.482000000000001 147.23 124.77600000000001 207.674 8.31 61.24 resonant 5 2 53157.0 172 0.15 TNO.dat
42.544 0.013999999999999999 5.078 66.71 267.04 224.63 8.44 42.98 classical m s 53157.0 173 0.15 TNO.dat
43.995 0.079 7.94 67.354 135.67600000000002 3.216 8.3 40.52 classical m k 53157.0 174 0.15 TNO.dat
55.26 0.337 41.552 358.24199999999996 11.958 49.988 7.92 48.25 classical o 0 53157.0 175 0.15 TNO.dat
145.75 0.732 16.662 233.72400000000002 45.553000000000004 46.601000000000006 8.39 143.03 classical o 0 53157.0 176 0.15 TNO.dat
88.42200000000001 0.621 20.708000000000002 296.82599999999996 357.909 154.014 8.42 141.18 resonant 5 1 53157.0 177 0.15 TNO.dat
54.111999999999995 0.299 21.648000000000003 70.604 194.96599999999998 193.34 8.45 70.02 classical o 0 53157.0 178 0.15 TNO.dat
46.577 0.17 2.1519999999999997 141.786 185.389 146.174 8.5 53.5 classical m s 53157.0 179 0.15 TNO.dat
41.17100000000001 0.139 21.787 342.595 359.54 254.47400000000002 8.37 43.38 classical m h 53157.0 180 0.15 TNO.dat
42.525 0.021 3.217 11.610999999999999 145.931 162.819 7.88 43.4 classical m s 53157.0 181 0.15 TNO.dat
49.551 0.285 16.153 37.184 301.31 115.414 7.52 58.28 classical o 0 53157.0 182 0.15 TNO.dat
45.653999999999996 0.066 5.727 118.507 167.30599999999998 236.423 8.18 47.46 classical m s 53157.0 183 0.15 TNO.dat
44.013000000000005 0.135 26.928 66.71600000000001 91.516 179.733 7.26 49.95 classical m h 53157.0 184 0.15 TNO.dat
69.015 0.47100000000000003 16.798 1.9340000000000002 230.91400000000002 268.686 7.62 83.11 classical o 0 53157.0 185 0.15 TNO.dat
138.80700000000002 0.722 22.273000000000003 86.54299999999999 238.225 94.985 8.24 200.06 scattering 0 0 53157.0 186 0.15 TNO.dat
88.277 0.39299999999999996 13.094000000000001 87.228 328.779 359.155 6.69 53.6 resonant 5 1 53157.0 187 0.15 TNO.dat
42.772 0.17600000000000002 24.136999999999997 268.215 50.381 249.843 7.75 46.41 classical m h 53157.0 188 0.15 TNO.dat
62.272 0.331 20.503 40.403 149.32299999999998 355.71 8.34 41.78 resonant 3 1 53157.0 189 0.15 TNO.dat
53.76 0.27399999999999997 35.98 328.89 356.168 28.723000000000003 7.88 42.23 classical o 0 53157.0 190 0.15 TNO.dat
43.102 0.12 26.511 229.081 323.004 36.924 8.25 39.21 classical m h 53157.0 191 0.15 TNO.dat
44.053000000000004 0.052000000000000005 5.555 121.56200000000001 99.572 122.556 8.27 45.36 classical m k 53157.0 192 0.15 TNO.dat
38.591 0.026000000000000002 20.677 22.793000000000003 38.455999999999996 326.822 8.19 37.77 classical i 0 53157.0 193 0.15 TNO.dat
39.415 0.17600000000000002 18.582 74.173 262.682 55.068000000000005 8.24 36.39 resonant 3 2 53157.0 194 0.15 TNO.dat
53.036 0.21 4.128 309.83099999999996 196.77900000000002 110.037 8.3 58.66 resonant 7 3 53157.0 195 0.15 TNO.dat
49.318999999999996 0.23 19.714000000000002 334.01800000000003 34.178000000000004 165.143 8.39 60.38 classical o 0 53157.0 196 0.15 TNO.dat
38.121 0.046 26.58 60.551 91.178 85.031 8.15 38.05 classical i 0 53157.0 197 0.15 TNO.dat
46.227 0.022000000000000002 5.896 144.457 266.186 102.803 7.94 46.48 classical m s 53157.0 198 0.15 TNO.dat
103.98 0.888 18.52 84.354 182.24 322.258 7.69 101.73 scattering 0 0 53157.0 199 0.15 TNO.dat
45.037 0.045 3.7439999999999998 136.615 159.80700000000002 185.28599999999997 8.23 47.06 classical m s 53157.0 200 0.15 TNO.dat
39.314 0.14800000000000002 31.820999999999998 357.923 252.891 12.38 8.26 33.68 resonant 3 2 53157.0 201 0.15 TNO.dat
43.98 0.059000000000000004 4.099 70.21600000000001 188.702 25.764 8.43 41.69 classical m k 53157.0 202 0.15 TNO.dat
62.217 0.445 0.9940000000000001 56.821000000000005 313.445 60.095 8.39 60.06 resonant 3 1 53157.0 203 0.15 TNO.dat
55.27 0.092 8.347999999999999 61.015 321.82599999999996 18.271 8.35 50.52 resonant 5 2 53157.0 204 0.15 TNO.dat
49.531000000000006 0.265 32.819 135.622 167.37599999999998 152.579 6.89 61.73 classical o 0 53157.0 205 0.15 TNO.dat
41.435 0.091 19.395 309.499 185.24400000000003 85.796 8.22 41.5 classical m h 53157.0 206 0.15 TNO.dat
44.126999999999995 0.033 1.8119999999999998 108.521 271.988 346.325 8.18 42.73 classical m k 53157.0 207 0.15 TNO.dat
156.739 0.7759999999999999 21.666 7.352 169.537 194.024 8.2 277.17 classical o 0 53157.0 208 0.15 TNO.dat
55.425 0.107 32.592 278.837 240.575 26.11 8.0 50.23 resonant 5 2 53157.0 209 0.15 TNO.dat
44.081 0.077 2.3080000000000003 175.708 254.15099999999998 74.687 8.43 43.43 classical m k 53157.0 210 0.15 TNO.dat
61.331 0.381 9.917 140.78799999999998 275.473 148.925 8.12 82.9 classical o 0 53157.0 211 0.15 TNO.dat
42.838 0.107 23.665 126.024 165.502 245.50599999999997 8.44 45.12 classical m h 53157.0 212 0.15 TNO.dat
44.101000000000006 0.079 3.57 156.296 113.164 225.533 7.38 46.67 classical m k 53157.0 213 0.15 TNO.dat
45.364 0.12 5.962999999999999 52.623999999999995 330.801 273.444 8.45 45.69 classical m s 53157.0 214 0.15 TNO.dat
45.771 0.16 25.756999999999998 353.162 350.495 315.517 8.42 41.24 classical m h 53157.0 215 0.15 TNO.dat
44.157 0.078 3.408 246.775 182.648 247.283 7.95 45.71 classical m k 53157.0 216 0.15 TNO.dat
42.717 0.027999999999999997 2.085 11.862 39.705999999999996 12.984000000000002 8.4 41.56 classical m s 53157.0 217 0.15 TNO.dat
61.886 0.392 19.129 230.33700000000002 107.118 333.733 8.38 43.57 classical o 0 53157.0 218 0.15 TNO.dat
55.231 0.48100000000000004 15.93 301.284 173.179 136.381 7.74 78.26 resonant 5 2 53157.0 219 0.15 TNO.dat
190.91099999999997 0.816 13.012 329.465 7.777 316.759 7.98 190.86 classical o 0 53157.0 220 0.15 TNO.dat
