ObjID,H_r,GS,u-r,g-r,i-r,z-r,y-r
STC001Una,7.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uoa,7.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Upa,8.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uqa,7.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Ura,8.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Usa,8.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uta,6.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uua,7.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uva,8.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uwa,8.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uxa,7.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uya,8.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Uza,8.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UAa,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UBa,8.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UCa,6.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UDa,7.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UEa,8.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UFa,6.88,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UGa,6.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UHa,6.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UIa,8.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UJa,8.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UKa,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001ULa,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UMa,9.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UNa,7.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UOa,6.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UPa,7.7,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UQa,8.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001URa,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001USa,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UTa,7.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UUa,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UVa,7.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UWa,6.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UXa,8.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UYa,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001UZa,6.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V0a,8.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V1a,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V2a,7.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V3a,6.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V4a,9.09,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V5a,8.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V6a,4.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V7a,8.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V8a,8.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001V9a,7.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vaa,7.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vba,8.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vca,7.13,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vda,6.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vea,8.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vfa,9.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vga,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vha,5.7,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Via,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vja,6.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vka,7.58,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vla,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vma,7.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vna,6.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Voa,5.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vpa,7.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vqa,8.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vra,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vsa,5.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vta,7.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vua,8.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vva,8.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vwa,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vxa,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vya,7.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Vza,8.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VAa,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VBa,8.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VCa,7.98,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VDa,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VEa,7.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VFa,8.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VGa,6.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VHa,7.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VIa,8.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VJa,7.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VKa,8.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VLa,8.65,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VMa,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VNa,7.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VOa,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VPa,6.56,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VQa,7.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VRa,9.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VSa,8.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VTa,6.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VUa,9.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VVa,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VWa,7.76,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VXa,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VYa,7.54,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001VZa,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W0a,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W1a,7.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W2a,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W3a,7.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W4a,7.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W5a,7.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W6a,7.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W7a,7.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W8a,7.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001W9a,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Waa,7.68,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wba,8.28,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wca,6.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wda,7.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wea,9.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wfa,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wga,7.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wha,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wia,7.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wja,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wka,5.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wla,7.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wma,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wna,8.04,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Woa,8.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wpa,6.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wqa,7.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wra,8.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wsa,8.11,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wta,8.58,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wua,7.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wva,7.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wwa,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wxa,8.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wya,7.88,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Wza,6.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WAa,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WBa,7.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WCa,6.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WDa,7.55,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WEa,8.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WFa,8.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WGa,6.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WHa,7.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WIa,7.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WJa,8.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WKa,8.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WLa,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WMa,4.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WNa,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WOa,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WPa,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WQa,7.9,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WRa,7.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WSa,8.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WTa,8.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WUa,7.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WVa,7.92,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WWa,7.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WXa,7.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WYa,6.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001WZa,4.01,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X0a,7.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X1a,7.34,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X2a,6.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X3a,8.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X4a,8.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X5a,8.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X6a,7.37,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X7a,7.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X8a,8.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001X9a,7.39,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xaa,7.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xba,5.81,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xca,7.52,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xda,8.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xea,8.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xfa,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xga,8.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xha,6.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xia,7.12,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xja,7.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xka,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xla,8.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xma,6.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xna,7.34,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xoa,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xpa,8.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xqa,7.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xra,7.96,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xsa,8.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xta,6.75,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xua,7.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xva,7.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xwa,7.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xxa,6.88,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xya,7.57,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Xza,6.79,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XAa,8.09,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XBa,7.91,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XCa,8.62,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XDa,6.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XEa,6.87,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XFa,8.15,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XGa,7.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XHa,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XIa,9.06,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XJa,6.38,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XKa,8.38,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XLa,8.19,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XMa,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XNa,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XOa,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XPa,7.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XQa,7.14,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XRa,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XSa,7.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XTa,7.0,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XUa,7.46,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XVa,7.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XWa,7.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XXa,7.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XYa,6.67,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001XZa,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y0a,9.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y1a,7.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y2a,8.29,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y3a,6.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y4a,7.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y5a,7.2,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y6a,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y7a,8.41,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y8a,6.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Y9a,8.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yaa,8.21,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yba,8.27,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yca,7.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yda,5.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yea,9.08,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yfa,7.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yga,7.93,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yha,7.07,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yia,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yja,8.26,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yka,7.9,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yla,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yma,7.66,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yna,8.77,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yoa,6.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Ypa,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yqa,6.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yra,8.3,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Ysa,8.49,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yta,8.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yua,8.38,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yva,7.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Ywa,7.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yxa,7.35,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yya,6.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Yza,6.85,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YAa,8.69,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YBa,7.36,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YCa,7.32,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YDa,7.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YEa,8.51,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YFa,7.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YGa,6.71,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YHa,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YIa,8.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YJa,9.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YKa,8.17,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YLa,6.86,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YMa,7.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YNa,8.42,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YOa,7.82,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YPa,7.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YQa,7.59,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YRa,8.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YSa,7.99,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YTa,7.23,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YUa,8.4,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YVa,6.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YWa,8.48,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YXa,7.1,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YYa,7.74,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001YZa,6.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z0a,6.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z1a,7.8,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z2a,8.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z3a,8.5,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z4a,7.61,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z5a,4.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z6a,8.33,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z7a,7.94,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z8a,6.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Z9a,8.22,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zaa,7.45,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zba,8.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zca,8.44,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zda,8.63,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zea,7.83,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zfa,7.73,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zga,8.31,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zha,6.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zia,7.05,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zja,7.78,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zka,7.02,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zla,7.53,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zma,6.25,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zna,7.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zoa,8.16,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zpa,8.18,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zqa,8.24,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zra,7.95,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zsa,8.47,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zta,8.03,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zua,7.6,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zva,6.43,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zwa,7.64,0.15,1.786,0.474,-0.119,-0.126,-0.131
STC001Zxa,6.84,0.15,1.786,0.474,-0.119,-0.126,-0.131
